destination,vol,people,year
Russia,1,12653331,1990/1/1
Ukraine,0.396583161,5018098,1990/1/1
Kazakhstan,0.19553041,2474111,1990/1/1
Uzbekistan,0.100147621,1267201,1990/1/1
Belarus,0.062554437,791522,1990/1/1
USA,0.015067495,190654,1990/1/1
Tajikistan,0.02873275,363565,1990/1/1
Latvia,0.03739782,473207,1990/1/1
Kyrgyzstan,0.027595421,349174,1990/1/1
Estonia,0.022401769,283457,1990/1/1
Israel,0.013904481,175938,1990/1/1
Moldova,0.017827005,225571,1990/1/1
Lithuania,0.012522236,158448,1990/1/1
Turkmenistan,0.009351214,118324,1990/1/1
Georgia,0.011940729,151090,1990/1/1
Afghanistan,1,7679582,1990/1/1
Iran,0.51829735,3980307,1990/1/1
Pakistan,0.439473529,3374973,1990/1/1
Saudi Arabia,0.021648965,166255,1990/1/1
India,1,6619431,1990/1/1
Pakistan,0.425753815,2818248,1990/1/1
USA,0.068043009,450406,1990/1/1
Saudi Arabia,0.136940471,906468,1990/1/1
United Arab Emirates,0.069234652,458294,1990/1/1
Nepal,0.055800869,369370,1990/1/1
United Kingdom,0.060356547,399526,1990/1/1
Kuwait,0.056679041,375183,1990/1/1
Oman,0.023046392,152554,1990/1/1
Canada,0.025174369,166640,1990/1/1
Ukraine,1,5545517,1990/1/1
Russia,0.595421852,3301922,1990/1/1
Poland,0.079107503,438692,1990/1/1
Kazakhstan,0.064207359,356063,1990/1/1
Belarus,0.047217419,261845,1990/1/1
USA,0.027808228,154211,1990/1/1
Israel,0.030309347,168081,1990/1/1
Moldova,0.043948472,243717,1990/1/1
Uzbekistan,0.03249706,180213,1990/1/1
Bangladesh,1,5450443,1990/1/1
India,0.802715486,4375155,1990/1/1
Saudi Arabia,0.087952484,479380,1990/1/1
United Arab Emirates,0.028414021,154869,1990/1/1
Kuwait,0.023261045,126783,1990/1/1
United Kingdom,0.018783794,102380,1990/1/1
Russia,1,11587959,1995/1/1
Ukraine,0.375854972,4355392,1995/1/1
Kazakhstan,0.194468845,2253497,1995/1/1
Uzbekistan,0.10027331,1161963,1995/1/1
Germany,0.042332563,490548,1995/1/1
Belarus,0.064702248,749767,1995/1/1
USA,0.023210904,268967,1995/1/1
Tajikistan,0.02540991,294449,1995/1/1
Latvia,0.030548952,354000,1995/1/1
Kyrgyzstan,0.024566708,284678,1995/1/1
Estonia,0.020384435,236214,1995/1/1
Israel,0.015008251,173915,1995/1/1
Moldova,0.013138897,152253,1995/1/1
Lithuania,0.01049555,121622,1995/1/1
India,1,7153439,1995/1/1
Pakistan,0.330733791,2365884,1995/1/1
USA,0.104332615,746337,1995/1/1
Saudi Arabia,0.12996672,929709,1995/1/1
United Arab Emirates,0.093361109,667853,1995/1/1
Nepal,0.072074145,515578,1995/1/1
United Kingdom,0.059032306,422284,1995/1/1
Kuwait,0.046463946,332377,1995/1/1
Oman,0.039559574,282987,1995/1/1
Canada,0.033555189,240035,1995/1/1
Mexico,1,6949276,1995/1/1
USA,0.982540483,6827945,1995/1/1
Ukraine,1,5606133,1995/1/1
Russia,0.621653821,3485074,1995/1/1
Poland,0.066938655,375267,1995/1/1
Kazakhstan,0.053899542,302168,1995/1/1
Belarus,0.044242975,248032,1995/1/1
USA,0.038806607,217555,1995/1/1
Israel,0.030495709,170963,1995/1/1
Moldova,0.029338227,164474,1995/1/1
Uzbekistan,0.027355755,153360,1995/1/1
Bangladesh,1,5423528,1995/1/1
India,0.76096869,4127135,1995/1/1
Saudi Arabia,0.090586238,491297,1995/1/1
United Arab Emirates,0.040547592,219911,1995/1/1
United Kingdom,0.023003661,124761,1995/1/1
Kuwait,0.020290114,110044,1995/1/1
Russia,1,10664764,2000/1/1
Ukraine,0.351235339,3745842,2000/1/1
Kazakhstan,0.190616783,2032883,2000/1/1
Uzbekistan,0.100072257,1067247,2000/1/1
Germany,0.08474421,903777,2000/1/1
Belarus,0.066387873,708011,2000/1/1
USA,0.03270724,348815,2000/1/1
Tajikistan,0.023638498,252099,2000/1/1
Latvia,0.02201202,234753,2000/1/1
Kyrgyzstan,0.019915209,212391,2000/1/1
Estonia,0.017719098,188970,2000/1/1
Israel,0.01520465,162154,2000/1/1
Mexico,1,9562878,2000/1/1
USA,0.984068708,9410529,2000/1/1
India,1,7928051,2000/1/1
Pakistan,0.265013305,2101039,2000/1/1
USA,0.132254068,1048517,2000/1/1
Saudi Arabia,0.123484574,978992,2000/1/1
United Arab Emirates,0.115523727,915878,2000/1/1
Nepal,0.068565906,543594,2000/1/1
United Kingdom,0.057030915,452144,2000/1/1
Kuwait,0.052807935,418664,2000/1/1
Oman,0.042113881,333881,2000/1/1
Canada,0.040254282,319138,2000/1/1
China,1,5884919,2000/1/1
USA,0.229139093,1348465,2000/1/1
Canada,0.070036988,412162,2000/1/1
Japan,0.057027123,335600,2000/1/1
Singapore,0.042515114,250198,2000/1/1
Australia,0.024586575,144690,2000/1/1
United Kingdom,0.02448173,144073,2000/1/1
Bangladesh,0.020848375,122691,2000/1/1
Ukraine,1,5596518,2000/1/1
Russia,0.632864756,3541839,2000/1/1
Poland,0.057359415,321013,2000/1/1
USA,0.050413311,282139,2000/1/1
Kazakhstan,0.044362048,248273,2000/1/1
Belarus,0.041850844,234219,2000/1/1
Israel,0.029352358,164271,2000/1/1
Germany,0.027741714,155257,2000/1/1
Uzbekistan,0.023412236,131027,2000/1/1
Moldova,0.019835012,111007,2000/1/1
Mexico,1,10817810,2005/1/1
USA,0.980888368,10611064,2005/1/1
Russia,1,10302948,2005/1/1
Ukraine,0.332207151,3422713,2005/1/1
Kazakhstan,0.205997254,2122379,2005/1/1
Germany,0.086317431,889324,2005/1/1
Uzbekistan,0.095183825,980674,2005/1/1
Belarus,0.067766235,698192,2005/1/1
USA,0.036033764,371254,2005/1/1
Tajikistan,0.023168029,238699,2005/1/1
Estonia,0.016749672,172571,2005/1/1
Latvia,0.01958158,201748,2005/1/1
Israel,0.013183314,135827,2005/1/1
Kyrgyzstan,0.016594183,170969,2005/1/1
India,1,9588533,2005/1/1
United Arab Emirates,0.134222096,1286993,2005/1/1
USA,0.14502792,1390605,2005/1/1
Saudi Arabia,0.126875404,1216549,2005/1/1
Pakistan,0.208458791,1998814,2005/1/1
Oman,0.038943496,373411,2005/1/1
Kuwait,0.050677304,485921,2005/1/1
United Kingdom,0.057165158,548130,2005/1/1
Canada,0.044308655,424855,2005/1/1
Qatar,0.020170343,193404,2005/1/1
Australia,0.015532616,148935,2005/1/1
Nepal,0.053673487,514650,2005/1/1
Bahrain,0.016382172,157081,2005/1/1
Malaysia,0.011065092,106098,2005/1/1
China,1,7337211,2005/1/1
USA,0.219109686,1607654,2005/1/1
South Korea,0.033148427,243217,2005/1/1
Japan,0.088333292,648120,2005/1/1
Canada,0.069371591,508994,2005/1/1
Australia,0.031014646,227561,2005/1/1
Singapore,0.040839905,299651,2005/1/1
Italy,0.018758218,137633,2005/1/1
United Kingdom,0.020034043,146994,2005/1/1
Bangladesh,0.019817476,145405,2005/1/1
Ukraine,1,5566382,2005/1/1
Russia,0.591754033,3293929,2005/1/1
USA,0.053673284,298766,2005/1/1
Kazakhstan,0.05084775,283038,2005/1/1
Germany,0.033433386,186103,2005/1/1
Poland,0.0473329,263473,2005/1/1
Italy,0.021190964,117957,2005/1/1
Belarus,0.041493918,230971,2005/1/1
Israel,0.026363444,146749,2005/1/1
Uzbekistan,0.02388679,132963,2005/1/1
India,1,13221963,2010/1/1
United Arab Emirates,0.220380136,2913858,2010/1/1
USA,0.134948494,1784284,2010/1/1
Saudi Arabia,0.119440283,1579235,2010/1/1
Pakistan,0.146978554,1943345,2010/1/1
Oman,0.035789391,473206,2010/1/1
Kuwait,0.051077665,675347,2010/1/1
United Kingdom,0.051742393,684136,2010/1/1
Canada,0.039168919,517890,2010/1/1
Qatar,0.040910264,540914,2010/1/1
Australia,0.024921413,329510,2010/1/1
Nepal,0.034880297,461186,2010/1/1
Bahrain,0.019657822,259915,2010/1/1
Italy,0.009756418,128999,2010/1/1
Malaysia,0.009007513,119097,2010/1/1
Singapore,0.009405336,124357,2010/1/1
Mexico,1,12415222,2010/1/1
USA,0.980140508,12168662,2010/1/1
Russia,1,10118680,2010/1/1
Ukraine,0.322750695,3265811,2010/1/1
Kazakhstan,0.218593235,2211875,2010/1/1
Germany,0.084717177,857226,2010/1/1
Uzbekistan,0.090293596,913652,2010/1/1
Belarus,0.068029822,688372,2010/1/1
USA,0.040092087,405679,2010/1/1
Tajikistan,0.023534888,238142,2010/1/1
Estonia,0.015290631,154721,2010/1/1
Latvia,0.01616871,163606,2010/1/1
Israel,0.010984437,111148,2010/1/1
Kyrgyzstan,0.012540865,126897,2010/1/1
China,1,8714648,2010/1/1
USA,0.22065722,1922950,2010/1/1
Japan,0.078850689,687156,2010/1/1
Canada,0.070225441,611990,2010/1/1
Australia,0.042635113,371550,2010/1/1
Singapore,0.04197496,365797,2010/1/1
Italy,0.022339055,194677,2010/1/1
United Kingdom,0.017808637,155196,2010/1/1
Spain,0.017776736,154918,2010/1/1
Bangladesh,0.018388809,160252,2010/1/1
France,0.011857966,103338,2010/1/1
India,0.011475277,100003,2010/1/1
Bangladesh,1,6319871,2010/1/1
India,0.451802576,2855334,2010/1/1
United Arab Emirates,0.145472115,919365,2010/1/1
Saudi Arabia,0.127927453,808485,2010/1/1
Malaysia,0.055605882,351422,2010/1/1
Kuwait,0.040834852,258071,2010/1/1
United Kingdom,0.033162228,209581,2010/1/1
Qatar,0.026799598,169370,2010/1/1
USA,0.025242129,159527,2010/1/1
Oman,0.017225193,108861,2010/1/1
India,1,15885657,2015/1/1
United Arab Emirates,0.200435084,3184043,2015/1/1
USA,0.150427458,2389639,2015/1/1
Saudi Arabia,0.126104699,2003256,2015/1/1
Pakistan ,0.107594983,1709217,2015/1/1
Oman,0.067743563,1076151,2015/1/1
Kuwait ,0.066837525,1061758,2015/1/1
United Kingdom ,0.050850273,807790,2015/1/1
Canada ,0.041827984,664465,2015/1/1
Qatar ,0.040638986,645577,2015/1/1
Australia,0.028267008,449040,2015/1/1
Nepal ,0.028082754,446113,2015/1/1
Bahrain ,0.017738454,281787,2015/1/1
Singapore,0.008980365,142659,2015/1/1
Malaysia,0.00879737,139752,2015/1/1
Italy,0.008724285,138591,2015/1/1
Mexico ,1,11923234,2015/1/1
USA ,0.976521806,11643298,2015/1/1
China ,1,10240817,2015/1/1
USA ,0.261375338,2676697,2015/1/1
South Korea,0.074135101,759204,2015/1/1
Japan,0.069776659,714570,2015/1/1
Canada,0.063010402,645278,2015/1/1
Australia,0.049690371,508870,2015/1/1
Singapore,0.040976613,419634,2015/1/1
Italy ,0.019492292,199617,2015/1/1
United Kingdom ,0.019473837,199428,2015/1/1
Bangladesh ,0.015894435,162772,2015/1/1
Spain ,0.015205135,155713,2015/1/1
France,0.011183776,114531,2015/1/1
India,0.0107509,110098,2015/1/1
Russia ,1,10179999,2015/1/1
Ukraine ,0.321783725,3275758,2015/1/1
Kazakhstan,0.231100023,2352598,2015/1/1
Uzbekistan ,0.086217101,877690,2015/1/1
Germany ,0.086080755,876302,2015/1/1
Belarus,0.067029673,682362,2015/1/1
USA,0.037969454,386529,2015/1/1
Tajikistan,0.023001378,234154,2015/1/1
Latvia ,0.013396465,136376,2015/1/1
Estonia,0.012690276,129187,2015/1/1
Israel ,0.011260315,114630,2015/1/1
Kyrgyzstan,0.010977702,111753,2015/1/1
Bangladesh,1,6831282,2015/1/1
India,0.3894777,2660632,2015/1/1
Saudi Arabia ,0.149724752,1022812,2015/1/1
United Arab Emirates,0.147060391,1004611,2015/1/1
Malaysia,0.057426263,392295,2015/1/1
Kuwait,0.051268415,350229,2015/1/1
Oman ,0.036240343,247568,2015/1/1
USA,0.032587734,222616,2015/1/1
United Kingdom ,0.031567867,215649,2015/1/1
Qatar,0.023448454,160183,2015/1/1
Italy ,0.015382764,105084,2015/1/1
d,1,10461170,43831
USA,0.20878257,2184110,43831
South Korea,0.07676111,803011,43831
Japan,0.07416886,775893,43831
Canada,0.06683669,699190,43831
Australia,0.06244349,653232,43831
Singapore,0.04076351,426434,43831
Italy,0.02230515,233338,43831
United Kingdom,0.01990494,208229,43831
Spain,0.01712084,179104,43831
Bangladesh,0.01525824,159619,43831
NewZealand,0.01378498,144207,43831
Germany,0.01365918,142891,43831
France,0.01203431,125893,43831
India,0.01032466,108008,43831
India,1,17869492,43831
United Arab Emirates,0.19425846,3471300,43831
USA,0.15242537,2723764,43831
Saudi Arabia,0.14003403,2502337,43831
Pakistan,0.0893777,1597134,43831
Oman,0.07698411,1375667,43831
Kuwait,0.06447721,1152175,43831
United Kingdom,0.04674778,835359,43831
Canada,0.04029678,720083,43831
Qatar,0.03928556,702013,43831
Australia,0.03241637,579264,43831
Nepal,0.02389217,426941,43831
Bahrain,0.02043136,365098,43831
Italy,0.00936076,167272,43831
Malaysia,0.00828765,148096,43831
Singapore,0.00811271,144970,43831
NewZealand,0.0068556,122506,43831
Germany,0.006023,107628,43831
Mexico,1,11185737,43831
USA,0.97026285,10853105,43831
Russia,1,10756697,43831
Ukraine,0.30962906,3330586,43831
Kazakhstan,0.23018386,2476018,43831
Germany,0.11144973,1198831,43831
Uzbekistan,0.08097718,871047,43831
Belarus,0.06251743,672481,43831
USA,0.03691291,397061,43831
Tajikistan,0.02184667,234998,43831
Estonia,0.01107189,119097,43831
Latvia,0.01085566,116771,43831
Israel,0.01034853,111316,43831
Kyrgyzstan,0.01011965,108854,43831
Syria,1,8457214,43831
Turkey,0.44843432,3792505,43831
Lebanon,0.12330124,1042785,43831
Saudi Arabia,0.09734423,823261,43831
Germany,0.08365131,707457,43831
Jordan,0.08261598,698701,43831
Iraq,0.03008568,254441,43831
Sweden,0.02257032,190882,43831
Egypt,0.01485986,125673,43831
